instance100.gr: cost: 278830056.00, avg_time: 17.27 ms, avg-memory: 9004.69 KB, runs: 1000
instance101.gr: cost: 161187804.00, avg_time: 13.24 ms, avg-memory: 7241.02 KB, runs: 1000
instance102.gr: cost: 129678787.00, avg_time: 14.29 ms, avg-memory: 7746.64 KB, runs: 1000
instance103.gr: cost: 78871572.00, avg_time: 50.48 ms, avg-memory: 25795.30 KB, runs: 827
instance104.gr: cost: 210927980.00, avg_time: 20.07 ms, avg-memory: 10316.30 KB, runs: 1000
instance105.gr: cost: 782.00, avg_time: 5.07 ms, avg-memory: 3425.60 KB, runs: 1000
instance106.gr: cost: 124549821.00, avg_time: 82.34 ms, avg-memory: 42307.13 KB, runs: 493
instance107.gr: cost: 145501182.00, avg_time: 18.73 ms, avg-memory: 9675.81 KB, runs: 1000
instance108.gr: cost: 242556904.00, avg_time: 18.04 ms, avg-memory: 9203.06 KB, runs: 1000
instance109.gr: cost: 144277741.00, avg_time: 16.81 ms, avg-memory: 8779.99 KB, runs: 1000
instance110.gr: cost: 1176084497.00, avg_time: 19.16 ms, avg-memory: 9906.04 KB, runs: 1000
instance111.gr: cost: 189451202.00, avg_time: 16.37 ms, avg-memory: 8646.76 KB, runs: 1000
instance112.gr: cost: 103103.00, avg_time: 6.54 ms, avg-memory: 3596.36 KB, runs: 1000
instance113.gr: cost: 1023.00, avg_time: 6.13 ms, avg-memory: 3554.28 KB, runs: 1000
instance114.gr: cost: 189909637.00, avg_time: 19.90 ms, avg-memory: 10059.29 KB, runs: 1000
instance115.gr: cost: 173013496.00, avg_time: 13.71 ms, avg-memory: 7373.18 KB, runs: 1000
instance116.gr: cost: 211817.00, avg_time: 34.90 ms, avg-memory: 18746.20 KB, runs: 1000
instance117.gr: cost: 111476504.00, avg_time: 76.32 ms, avg-memory: 39087.89 KB, runs: 552
instance118.gr: cost: 342402691.00, avg_time: 19.30 ms, avg-memory: 9801.42 KB, runs: 1000
instance119.gr: cost: 1080.00, avg_time: 5.54 ms, avg-memory: 3556.22 KB, runs: 1000
instance120.gr: cost: 517266609.00, avg_time: 24.21 ms, avg-memory: 12107.30 KB, runs: 1000
instance121.gr: cost: 496534031.00, avg_time: 9.46 ms, avg-memory: 5606.67 KB, runs: 1000
instance122.gr: cost: 217424108.00, avg_time: 17.31 ms, avg-memory: 9031.60 KB, runs: 1000
instance123.gr: cost: 246728331.00, avg_time: 26.40 ms, avg-memory: 12997.81 KB, runs: 1000
instance124.gr: cost: 227826561.00, avg_time: 18.22 ms, avg-memory: 9419.57 KB, runs: 1000
instance125.gr: cost: 538832792.00, avg_time: 25.02 ms, avg-memory: 12365.27 KB, runs: 1000
instance126.gr: cost: 193032152.00, avg_time: 22.91 ms, avg-memory: 11469.98 KB, runs: 1000
instance127.gr: cost: 287026563.00, avg_time: 17.47 ms, avg-memory: 9034.08 KB, runs: 1000
instance128.gr: cost: 236595535.00, avg_time: 27.02 ms, avg-memory: 13233.01 KB, runs: 1000
instance129.gr: cost: 278200567.00, avg_time: 19.21 ms, avg-memory: 9932.09 KB, runs: 1000
instance130.gr: cost: 90518661.00, avg_time: 62.81 ms, avg-memory: 30653.64 KB, runs: 683
instance131.gr: cost: 439408815.00, avg_time: 17.50 ms, avg-memory: 9036.56 KB, runs: 1000
instance132.gr: cost: 314289704.00, avg_time: 31.06 ms, avg-memory: 14920.05 KB, runs: 1000
instance133.gr: cost: 374288634.00, avg_time: 19.94 ms, avg-memory: 10181.14 KB, runs: 1000
instance134.gr: cost: 200270.00, avg_time: 39.10 ms, avg-memory: 20157.30 KB, runs: 1000
instance135.gr: cost: 732374998.00, avg_time: 30.43 ms, avg-memory: 14534.05 KB, runs: 1000
instance136.gr: cost: 258940387.00, avg_time: 22.49 ms, avg-memory: 11338.93 KB, runs: 1000
instance137.gr: cost: 137058494.00, avg_time: 96.22 ms, avg-memory: 47683.87 KB, runs: 466
instance138.gr: cost: 91495844.00, avg_time: 84.77 ms, avg-memory: 42052.29 KB, runs: 534
instance139.gr: cost: 308105967.00, avg_time: 35.44 ms, avg-memory: 16710.76 KB, runs: 1000
instance140.gr: cost: 339965835.00, avg_time: 28.52 ms, avg-memory: 13767.15 KB, runs: 1000
instance141.gr: cost: 1085470373.00, avg_time: 36.58 ms, avg-memory: 17101.15 KB, runs: 1000
instance142.gr: cost: 442765113.00, avg_time: 32.48 ms, avg-memory: 15344.50 KB, runs: 1000
instance143.gr: cost: 261002311.00, avg_time: 6.93 ms, avg-memory: 4327.66 KB, runs: 1000
instance144.gr: cost: 269302772.00, avg_time: 7.08 ms, avg-memory: 4445.37 KB, runs: 1000
instance145.gr: cost: 272636868.00, avg_time: 7.11 ms, avg-memory: 4453.32 KB, runs: 1000
instance146.gr: cost: 270743509.00, avg_time: 7.23 ms, avg-memory: 4452.17 KB, runs: 1000
instance147.gr: cost: 77649522.00, avg_time: 65.36 ms, avg-memory: 31437.56 KB, runs: 611
instance148.gr: cost: 206056.00, avg_time: 8.88 ms, avg-memory: 4194.13 KB, runs: 1000
instance149.gr: cost: 2047.00, avg_time: 8.34 ms, avg-memory: 4045.13 KB, runs: 1000
instance150.gr: cost: 517538575.00, avg_time: 35.73 ms, avg-memory: 16842.42 KB, runs: 1000
instance151.gr: cost: 1024598361.00, avg_time: 49.43 ms, avg-memory: 22338.90 KB, runs: 905
instance152.gr: cost: 396291451.00, avg_time: 29.09 ms, avg-memory: 13768.09 KB, runs: 1000
instance153.gr: cost: 493282949.00, avg_time: 39.56 ms, avg-memory: 18245.97 KB, runs: 1000
instance154.gr: cost: 625516669.00, avg_time: 39.70 ms, avg-memory: 18247.08 KB, runs: 1000
instance155.gr: cost: 588293366.00, avg_time: 39.79 ms, avg-memory: 18246.04 KB, runs: 969
instance156.gr: cost: 775267174.00, avg_time: 40.03 ms, avg-memory: 18252.60 KB, runs: 1000
instance157.gr: cost: 784722215.00, avg_time: 32.67 ms, avg-memory: 15307.85 KB, runs: 1000
instance158.gr: cost: 4209334948.00, avg_time: 58.24 ms, avg-memory: 26052.33 KB, runs: 701
instance159.gr: cost: 794439121.00, avg_time: 36.86 ms, avg-memory: 17004.47 KB, runs: 1000
