instance117.gr: cost: 4401641.00, avg_time: 4.86 ms, avg-memory: 3269.65 KB, runs: 1000
instance118.gr: cost: 42734.00, avg_time: 4.98 ms, avg-memory: 3429.63 KB, runs: 1000
instance119.gr: cost: 42734.00, avg_time: 5.08 ms, avg-memory: 3426.36 KB, runs: 1000
instance120.gr: cost: 4301769.00, avg_time: 5.11 ms, avg-memory: 3302.06 KB, runs: 1000
instance121.gr: cost: 1326.00, avg_time: 5.36 ms, avg-memory: 3557.02 KB, runs: 1000
instance122.gr: cost: 244780527.00, avg_time: 7.28 ms, avg-memory: 4323.33 KB, runs: 1000
instance123.gr: cost: 242111575.00, avg_time: 7.19 ms, avg-memory: 4327.62 KB, runs: 1000
instance124.gr: cost: 19372749.00, avg_time: 7.27 ms, avg-memory: 4321.54 KB, runs: 1000
instance125.gr: cost: 9283.00, avg_time: 4.40 ms, avg-memory: 3177.63 KB, runs: 1000
instance126.gr: cost: 10640.00, avg_time: 4.48 ms, avg-memory: 3176.87 KB, runs: 1000
instance127.gr: cost: 2200510.00, avg_time: 4.94 ms, avg-memory: 3169.86 KB, runs: 1000
instance128.gr: cost: 1601404.00, avg_time: 4.71 ms, avg-memory: 3171.02 KB, runs: 1000
instance129.gr: cost: 3100708.00, avg_time: 4.58 ms, avg-memory: 3178.24 KB, runs: 1000
instance130.gr: cost: 3600932.00, avg_time: 4.76 ms, avg-memory: 3174.52 KB, runs: 1000
instance131.gr: cost: 1380.00, avg_time: 5.05 ms, avg-memory: 3293.78 KB, runs: 1000
instance132.gr: cost: 4701689.00, avg_time: 5.26 ms, avg-memory: 3294.98 KB, runs: 1000
instance133.gr: cost: 7602538.00, avg_time: 5.57 ms, avg-memory: 3425.77 KB, runs: 1000
instance134.gr: cost: 172197379.00, avg_time: 6.24 ms, avg-memory: 3682.42 KB, runs: 1000
instance135.gr: cost: 240185604.00, avg_time: 7.12 ms, avg-memory: 4200.01 KB, runs: 1000
instance136.gr: cost: 244788885.00, avg_time: 7.25 ms, avg-memory: 4319.80 KB, runs: 1000
instance137.gr: cost: 241872906.00, avg_time: 7.39 ms, avg-memory: 4324.40 KB, runs: 1000
instance138.gr: cost: 243842594.00, avg_time: 7.53 ms, avg-memory: 4324.62 KB, runs: 1000
instance139.gr: cost: 245089850.00, avg_time: 7.57 ms, avg-memory: 4450.04 KB, runs: 1000
instance140.gr: cost: 9949.00, avg_time: 4.24 ms, avg-memory: 3171.64 KB, runs: 1000
instance141.gr: cost: 3800872.00, avg_time: 4.72 ms, avg-memory: 3176.84 KB, runs: 1000
instance142.gr: cost: 3000730.00, avg_time: 4.65 ms, avg-memory: 3175.92 KB, runs: 1000
instance143.gr: cost: 4501038.00, avg_time: 4.78 ms, avg-memory: 3214.92 KB, runs: 1000
instance144.gr: cost: 3600797.00, avg_time: 4.79 ms, avg-memory: 3302.20 KB, runs: 1000
instance145.gr: cost: 3300629.00, avg_time: 4.78 ms, avg-memory: 3301.54 KB, runs: 1000
instance146.gr: cost: 4100999.00, avg_time: 4.93 ms, avg-memory: 3300.42 KB, runs: 1000
instance147.gr: cost: 5001962.00, avg_time: 5.01 ms, avg-memory: 3301.09 KB, runs: 1000
instance148.gr: cost: 5502352.00, avg_time: 5.13 ms, avg-memory: 3301.83 KB, runs: 1000
instance149.gr: cost: 5301829.00, avg_time: 5.12 ms, avg-memory: 3298.72 KB, runs: 1000
instance150.gr: cost: 7102923.00, avg_time: 5.42 ms, avg-memory: 3425.76 KB, runs: 1000
instance151.gr: cost: 3400851.00, avg_time: 4.68 ms, avg-memory: 3172.56 KB, runs: 1000
instance152.gr: cost: 2700633.00, avg_time: 4.76 ms, avg-memory: 3174.58 KB, runs: 1000
instance153.gr: cost: 6201086.00, avg_time: 5.19 ms, avg-memory: 3431.72 KB, runs: 1000
instance154.gr: cost: 6002479.00, avg_time: 5.26 ms, avg-memory: 3428.39 KB, runs: 1000
instance155.gr: cost: 2030.00, avg_time: 5.11 ms, avg-memory: 3429.62 KB, runs: 1000
instance156.gr: cost: 7402551.00, avg_time: 5.41 ms, avg-memory: 3431.53 KB, runs: 1000
instance157.gr: cost: 7502550.00, avg_time: 5.54 ms, avg-memory: 3545.70 KB, runs: 1000
instance158.gr: cost: 245268719.00, avg_time: 7.57 ms, avg-memory: 4448.86 KB, runs: 1000
instance159.gr: cost: 248610434.00, avg_time: 7.48 ms, avg-memory: 4452.44 KB, runs: 1000
instance160.gr: cost: 252408.00, avg_time: 7.97 ms, avg-memory: 4448.08 KB, runs: 1000
instance161.gr: cost: 97394.00, avg_time: 7.70 ms, avg-memory: 4325.66 KB, runs: 1000
instance162.gr: cost: 133974.00, avg_time: 8.44 ms, avg-memory: 4323.28 KB, runs: 1000
instance163.gr: cost: 2600587.00, avg_time: 4.95 ms, avg-memory: 3276.46 KB, runs: 1000
