instance148.gr: cost: 5502035.00, avg_time: 8.43 ms, avg-memory: 3302.23 KB, runs: 1000
instance149.gr: cost: 5301446.00, avg_time: 8.16 ms, avg-memory: 3297.42 KB, runs: 1000
instance150.gr: cost: 7102432.00, avg_time: 10.44 ms, avg-memory: 3424.20 KB, runs: 1000
instance151.gr: cost: 3400589.00, avg_time: 5.89 ms, avg-memory: 3174.42 KB, runs: 1000
instance152.gr: cost: 2700527.00, avg_time: 5.71 ms, avg-memory: 3170.00 KB, runs: 1000
instance153.gr: cost: 6201049.00, avg_time: 8.95 ms, avg-memory: 3427.33 KB, runs: 1000
instance154.gr: cost: 6001906.00, avg_time: 9.15 ms, avg-memory: 3427.24 KB, runs: 1000
instance155.gr: cost: 773.00, avg_time: 6.43 ms, avg-memory: 3428.13 KB, runs: 1000
instance156.gr: cost: 7402163.00, avg_time: 10.83 ms, avg-memory: 3429.31 KB, runs: 1000
instance157.gr: cost: 7501953.00, avg_time: 12.28 ms, avg-memory: 3555.99 KB, runs: 1000
instance158.gr: cost: 238074996.00, avg_time: 237.07 ms, avg-memory: 4455.79 KB, runs: 206
instance159.gr: cost: 241022892.00, avg_time: 239.14 ms, avg-memory: 4449.57 KB, runs: 191
instance160.gr: cost: 260655.00, avg_time: 326.13 ms, avg-memory: 4450.01 KB, runs: 153
instance161.gr: cost: 87783.00, avg_time: 36.77 ms, avg-memory: 4322.10 KB, runs: 1000
instance162.gr: cost: 118685.00, avg_time: 75.45 ms, avg-memory: 4454.47 KB, runs: 603
instance163.gr: cost: 2600493.00, avg_time: 5.88 ms, avg-memory: 3294.82 KB, runs: 1000
instance164.gr: cost: 3100592.00, avg_time: 6.10 ms, avg-memory: 3275.19 KB, runs: 1000
instance165.gr: cost: 2500852.00, avg_time: 5.94 ms, avg-memory: 3298.52 KB, runs: 1000
instance166.gr: cost: 2403486.00, avg_time: 6.24 ms, avg-memory: 3296.72 KB, runs: 1000
instance167.gr: cost: 628.00, avg_time: 5.54 ms, avg-memory: 3304.94 KB, runs: 1000
instance168.gr: cost: 6902566.00, avg_time: 8.89 ms, avg-memory: 3301.34 KB, runs: 1000
instance169.gr: cost: 513.00, avg_time: 5.69 ms, avg-memory: 3424.92 KB, runs: 1000
instance170.gr: cost: 6102405.00, avg_time: 9.79 ms, avg-memory: 3426.75 KB, runs: 1000
instance171.gr: cost: 3903835.00, avg_time: 8.11 ms, avg-memory: 3427.47 KB, runs: 1000
instance172.gr: cost: 6900874.00, avg_time: 10.82 ms, avg-memory: 3429.46 KB, runs: 1000
instance173.gr: cost: 51516.00, avg_time: 9.87 ms, avg-memory: 3426.06 KB, runs: 1000
instance174.gr: cost: 7203046.00, avg_time: 13.34 ms, avg-memory: 3559.86 KB, runs: 1000
instance175.gr: cost: 9302.00, avg_time: 158.99 ms, avg-memory: 4202.67 KB, runs: 309
instance176.gr: cost: 511.00, avg_time: 5.52 ms, avg-memory: 3423.51 KB, runs: 1000
instance177.gr: cost: 5901671.00, avg_time: 10.37 ms, avg-memory: 3532.59 KB, runs: 1000
instance178.gr: cost: 7178.00, avg_time: 101.02 ms, avg-memory: 4062.00 KB, runs: 461
instance179.gr: cost: 823.00, avg_time: 6.81 ms, avg-memory: 3431.96 KB, runs: 1000
instance180.gr: cost: 6402139.00, avg_time: 9.18 ms, avg-memory: 3300.30 KB, runs: 1000
instance181.gr: cost: 5801539.00, avg_time: 9.28 ms, avg-memory: 3429.59 KB, runs: 1000
instance182.gr: cost: 5602416.00, avg_time: 9.77 ms, avg-memory: 3430.17 KB, runs: 1000
instance183.gr: cost: 6001176.00, avg_time: 9.98 ms, avg-memory: 3428.34 KB, runs: 1000
instance184.gr: cost: 8793.00, avg_time: 26.71 ms, avg-memory: 3941.54 KB, runs: 1000
instance185.gr: cost: 240331227.00, avg_time: 237.59 ms, avg-memory: 4450.44 KB, runs: 190
instance186.gr: cost: 26183678.00, avg_time: 822.69 ms, avg-memory: 5334.55 KB, runs: 55
instance187.gr: cost: 2103330.00, avg_time: 5.83 ms, avg-memory: 3300.02 KB, runs: 1000
