instance103.gr: cost: 328689.00, avg_time: 30.34 ms, avg-memory: 8858.28 KB, runs: 1000
instance104.gr: cost: 170461518.00, avg_time: 33.70 ms, avg-memory: 9192.20 KB, runs: 1000
instance105.gr: cost: 170290098.00, avg_time: 34.98 ms, avg-memory: 9384.43 KB, runs: 1000
instance106.gr: cost: 242508363.00, avg_time: 92.17 ms, avg-memory: 27028.80 KB, runs: 514
instance107.gr: cost: 8558.00, avg_time: 19.50 ms, avg-memory: 3447.07 KB, runs: 1000
instance108.gr: cost: 8363.00, avg_time: 19.55 ms, avg-memory: 3440.44 KB, runs: 1000
instance109.gr: cost: 3900320.00, avg_time: 19.28 ms, avg-memory: 3546.48 KB, runs: 1000
instance110.gr: cost: 87991.00, avg_time: 37.54 ms, avg-memory: 10085.29 KB, runs: 1000
instance111.gr: cost: 245375783.00, avg_time: 95.28 ms, avg-memory: 27231.91 KB, runs: 525
instance112.gr: cost: 249317625.00, avg_time: 98.46 ms, avg-memory: 27266.50 KB, runs: 508
instance113.gr: cost: 6050.00, avg_time: 19.76 ms, avg-memory: 3422.26 KB, runs: 1000
instance114.gr: cost: 5270.00, avg_time: 19.60 ms, avg-memory: 3420.86 KB, runs: 1000
instance115.gr: cost: 4700329.00, avg_time: 19.04 ms, avg-memory: 3551.22 KB, runs: 1000
instance116.gr: cost: 4300338.00, avg_time: 18.91 ms, avg-memory: 3550.34 KB, runs: 1000
instance117.gr: cost: 7001300.00, avg_time: 18.78 ms, avg-memory: 3668.55 KB, runs: 1000
instance118.gr: cost: 41379.00, avg_time: 20.69 ms, avg-memory: 5113.38 KB, runs: 1000
instance119.gr: cost: 41545.00, avg_time: 20.76 ms, avg-memory: 5122.34 KB, runs: 1000
instance120.gr: cost: 8101190.00, avg_time: 18.76 ms, avg-memory: 3803.28 KB, runs: 1000
instance121.gr: cost: 781.00, avg_time: 19.35 ms, avg-memory: 4061.38 KB, runs: 1000
instance122.gr: cost: 244380617.00, avg_time: 98.40 ms, avg-memory: 27222.99 KB, runs: 509
instance123.gr: cost: 240629050.00, avg_time: 96.19 ms, avg-memory: 27232.49 KB, runs: 509
instance124.gr: cost: 19428263.00, avg_time: 133.66 ms, avg-memory: 44925.65 KB, runs: 375
instance125.gr: cost: 7746.00, avg_time: 19.37 ms, avg-memory: 3435.57 KB, runs: 1000
instance126.gr: cost: 8399.00, avg_time: 19.56 ms, avg-memory: 3435.58 KB, runs: 1000
instance127.gr: cost: 3600288.00, avg_time: 19.38 ms, avg-memory: 3548.15 KB, runs: 1000
instance128.gr: cost: 2301231.00, avg_time: 19.65 ms, avg-memory: 3549.02 KB, runs: 1000
instance129.gr: cost: 5000544.00, avg_time: 18.55 ms, avg-memory: 3548.04 KB, runs: 1000
instance130.gr: cost: 6000397.00, avg_time: 18.67 ms, avg-memory: 3660.64 KB, runs: 1000
